Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef
8/29/2013,Akron,7,35,134,25,18,116,1,1,38,39,157,27,19,319,0,0
8/29/2013,Ball State,51,32,80,40,24,340,0,0,28,36,74,29,20,282,1,1
8/29/2013,Bowling Green,34,53,233,28,12,163,1,0,7,24,51,41,20,222,0,2
8/29/2013,Connecticut,18,27,81,28,16,206,1,1,33,50,201,20,13,192,1,0
8/29/2013,Fresno State,52,23,81,74,53,470,1,2,51,32,195,41,26,348,1,1
8/29/2013,Hawaii,13,31,23,41,16,208,4,0,30,45,192,29,15,172,1,1
8/29/2013,Indiana,73,54,313,30,17,319,2,1,35,39,131,32,12,175,1,1
8/29/2013,Kent State,17,49,167,28,21,194,0,1,10,22,33,22,14,189,0,0
8/29/2013,Middle Tennessee,45,49,270,27,19,205,0,2,24,35,114,36,19,257,2,0
8/29/2013,Minnesota,51,38,221,23,10,99,1,0,23,34,193,51,36,226,2,0
8/29/2013,Mississippi,39,37,206,47,31,283,0,0,35,33,126,36,21,300,2,0
8/29/2013,Nevada-Las Vegas,23,34,193,51,36,226,2,0,51,38,221,23,10,99,1,0
8/29/2013,North Carolina,10,36,99,43,26,194,0,1,27,38,228,21,12,178,0,0
8/29/2013,Rutgers,51,32,195,41,26,348,1,1,52,23,81,74,53,470,1,2
8/29/2013,San Jose State,24,29,142,32,16,225,0,0,0,39,86,40,23,192,2,0
8/29/2013,South Alabama,21,34,187,28,18,148,1,0,22,40,134,24,13,183,0,0
8/29/2013,South Carolina,27,38,228,21,12,178,0,0,10,36,99,43,26,194,0,1
8/29/2013,Southern Cal,30,45,192,29,15,172,1,1,13,31,23,41,16,208,4,0
8/29/2013,Tulane,34,43,158,16,7,150,0,0,7,48,112,29,15,244,4,2
8/29/2013,Tulsa,7,24,51,41,20,222,0,2,34,53,233,28,12,163,1,0
8/29/2013,U-C-F,38,39,157,27,19,319,0,0,7,35,134,25,18,116,1,1
8/29/2013,Utah,30,44,148,28,17,302,0,1,26,39,173,40,31,314,0,1
8/29/2013,Utah State,26,39,173,40,31,314,0,1,30,44,148,28,17,302,0,1
8/29/2013,Vanderbilt,35,33,126,36,21,300,2,0,39,37,206,47,31,283,0,0
8/29/2013,Wake Forest,31,54,189,26,14,219,0,2,7,24,102,19,11,49,3,3
8/30/2013,Arizona,35,34,306,13,9,87,0,0,0,39,94,36,21,176,3,0
8/30/2013,Army,28,42,295,8,4,101,0,0,12,52,185,10,6,116,0,1
8/30/2013,Florida Atlantic,6,43,133,32,16,117,0,1,34,38,303,31,18,200,1,0
8/30/2013,Georgia State,21,25,72,51,28,391,2,0,31,36,105,31,19,193,1,0
8/30/2013,Houston,62,50,372,38,26,255,0,0,13,30,104,36,27,268,1,3
8/30/2013,Kansas State,21,23,41,29,21,280,2,0,24,43,215,30,21,165,1,0
8/30/2013,Miami-Florida,34,38,303,31,18,200,1,0,6,43,133,32,16,117,0,1
8/30/2013,Michigan State,26,42,181,37,17,116,0,1,13,27,11,48,18,193,3,1
8/30/2013,S-M-U,23,31,102,62,41,388,0,0,41,27,48,60,43,413,0,0
8/30/2013,Texas Tech,41,27,48,60,43,413,0,0,23,31,102,62,41,388,0,0
8/30/2013,Western Michigan,13,27,11,48,18,193,3,1,26,42,181,37,17,116,0,1
8/31/2013,Air Force,38,64,409,11,7,72,0,0,13,41,157,27,14,143,0,0
8/31/2013,Alabama,35,38,96,24,10,110,1,0,10,33,153,26,5,59,1,0
8/31/2013,Arkansas,34,51,292,23,15,230,0,1,14,32,85,31,17,189,1,1
8/31/2013,Arkansas State,62,57,509,13,10,163,0,2,11,31,12,27,13,161,0,0
8/31/2013,Auburn,31,45,297,20,10,99,0,1,24,23,120,65,35,344,3,0
8/31/2013,Baylor,69,44,281,28,23,411,0,2,3,60,173,17,8,60,1,2
8/31/2013,Boise State,6,42,171,46,29,175,1,0,38,54,268,31,23,324,1,0
8/31/2013,Boston College,24,40,128,30,23,285,0,1,14,36,197,26,16,158,3,1
8/31/2013,Brigham Young,16,53,187,40,13,175,1,0,19,42,109,32,18,114,1,1
8/31/2013,Buffalo,20,35,73,32,19,185,1,0,40,45,261,23,16,199,1,1
8/31/2013,California,30,35,93,64,39,455,3,0,44,40,209,30,19,299,2,1
8/31/2013,Central Michigan,9,29,66,28,13,144,1,1,59,47,242,21,14,221,3,0
8/31/2013,Cincinnati,42,47,221,25,17,204,2,1,7,22,65,35,18,161,2,2
8/31/2013,Clemson,38,46,197,30,18,270,0,1,35,41,222,29,20,323,1,1
8/31/2013,Duke,45,49,257,28,21,231,1,0,0,29,81,32,14,103,1,1
8/31/2013,East Carolina,52,22,34,54,46,447,0,0,38,23,90,52,39,370,0,1
8/31/2013,Eastern Michigan,34,42,170,26,19,210,1,0,24,35,202,32,19,182,2,0
8/31/2013,Florida,24,48,262,22,17,153,0,1,6,16,50,38,17,155,1,0
8/31/2013,Florida Intl,10,40,91,22,10,80,1,1,43,42,251,29,25,325,0,2
8/31/2013,Georgia,35,41,222,29,20,323,1,1,38,46,197,30,18,270,0,1
8/31/2013,Georgia Tech,70,50,368,11,7,189,0,0,0,34,89,35,20,164,3,1
8/31/2013,Idaho,6,35,160,28,19,230,0,3,40,45,187,34,28,404,1,1
8/31/2013,Illinois,42,30,49,37,29,415,1,1,34,26,66,41,26,341,0,1
8/31/2013,Iowa,27,43,202,37,21,256,2,1,30,42,163,41,25,275,0,1
8/31/2013,Iowa State,20,44,168,32,22,242,0,0,28,33,228,29,22,229,0,2
8/31/2013,Kentucky,26,32,216,28,18,203,0,1,35,41,216,34,27,271,0,2
8/31/2013,Louisiana State,37,48,197,32,16,251,0,1,27,26,114,28,15,145,1,1
8/31/2013,Louisiana Tech,14,33,143,27,15,178,0,4,40,56,237,31,18,305,1,0
8/31/2013,Marshall,52,57,304,37,24,287,1,0,14,34,74,23,10,165,1,0
