TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Wins
TeamName,0
Akron,207.0,418.0,1471.0,419.0,234.0,2633.0,10.0,11.0,343.0,480.0,1969.0,385.0,238.0,2795.0,13.0,35.0,5,5,5,5,5,5,5,5,5,5,5,5
Ball State,441.0,411.0,1837.0,465.0,299.0,3999.0,7.0,11.0,298.0,493.0,2337.0,407.0,247.0,2712.0,12.0,40.0,10,10,10,10,10,10,10,10,10,10,10,10
Bowling Green,419.0,545.0,2697.0,371.0,234.0,3446.0,7.0,4.0,192.0,429.0,1853.0,400.0,219.0,2160.0,8.0,41.0,5,5,5,5,5,5,5,5,5,5,5,5,5
Connecticut,226.0,387.0,1010.0,439.0,241.0,2810.0,18.0,7.0,363.0,440.0,1625.0,396.0,221.0,2990.0,13.0,21.0,3,3,3,3,3,3,3,3,3,3,3,3
Fresno State,503.0,407.0,1930.0,620.0,431.0,4917.0,9.0,11.0,349.0,483.0,1772.0,433.0,258.0,3338.0,13.0,41.0,11,11,11,11,11,11,11,11,11,11,11,11
Hawaii,315.0,428.0,1375.0,519.0,296.0,3617.0,22.0,12.0,465.0,578.0,2563.0,416.0,248.0,3373.0,9.0,14.0,2,2,2,2,2,2,2,2,2,2,2,2
Indiana,426.0,458.0,2422.0,470.0,279.0,3680.0,14.0,6.0,466.0,525.0,2853.0,415.0,253.0,3482.0,7.0,35.0,5,5,5,5,5,5,5,5,5,5,5,5
Kent State,227.0,434.0,2189.0,363.0,209.0,2238.0,9.0,8.0,323.0,489.0,2386.0,324.0,176.0,2533.0,9.0,22.0,4,4,4,4,4,4,4,4,4,4,4,4
Middle Tennessee,351.0,500.0,2485.0,369.0,219.0,2489.0,13.0,7.0,317.0,531.0,2230.0,382.0,242.0,2625.0,15.0,20.0,9,9,9,9,9,9,9,9,9,9,9,9
Minnesota,273.0,548.0,2411.0,237.0,124.0,1702.0,7.0,8.0,268.0,407.0,1848.0,376.0,228.0,2608.0,10.0,44.0,11,11,11,11,11,11,11,11,11,11,11,11
Mississippi,334.0,480.0,2249.0,454.0,287.0,3427.0,12.0,8.0,291.0,465.0,1863.0,386.0,240.0,2655.0,12.0,31.0,7,7,7,7,7,7,7,7,7,7,7,7
Nevada-Las Vegas,362.0,480.0,2177.0,442.0,277.0,2909.0,9.0,4.0,378.0,514.0,2671.0,392.0,202.0,2564.0,11.0,13.0,6,6,6,6,6,6,6,6,6,6,6,6
