TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDefWins,,,,,,,,,,,,,
TeamName,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akron,404,474,1907,449,287,3736,10,7,353,456,2140,396,226,2708,15,31,6,6,6,6,6,6,6,6,6,6,6,6,
Ball State,254,422,1378,422,246,2730,12,9,386,515,2371,342,214,2274,6,7,4,4,4,4,4,4,4,4,4,4,4,4,
Bowling Green,415,546,2660,477,307,3820,10,15,280,460,1791,415,228,2850,11,27,9,9,9,9,9,9,9,9,9,9,9,9,9
Connecticut,360,463,2155,483,283,3575,14,6,300,452,1666,395,210,2414,9,48,8,8,8,8,8,8,8,8,8,8,8,8,
Fresno State,289,479,2090,444,255,2557,14,6,308,503,2379,420,240,2794,15,16,7,7,7,7,7,7,7,7,7,7,7,7,
Hawaii,400,280,1338,707,415,4855,26,9,379,536,2032,427,242,3019,13,32,8,8,8,8,8,8,8,8,8,8,8,8,
Indiana,164,555,1863,330,174,1998,9,8,388,508,2311,316,212,2845,9,13,5,5,5,5,5,5,5,5,5,5,5,5,
Kent State,318,500,1872,398,192,2637,10,11,396,516,2416,404,256,3126,9,3,5,5,5,5,5,5,5,5,5,5,5,5,
Middle Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Minnesota,424,628,3518,266,164,2499,7,9,255,428,1518,410,235,2454,10,48,7,7,7,7,7,7,7,7,7,7,7,7,
Mississippi,373,454,1723,418,260,3459,9,9,250,380,1222,421,234,3282,15,34,8,8,8,8,8,8,8,8,8,8,8,8,
Nevada-Las Vegas,232,482,1601,369,187,2110,11,12,272,476,1663,404,235,2877,16,24,6,6,6,6,6,6,6,6,6,6,6,6,
North Carolina,270,387,1805,429,258,2927,11,14,459,556,2724,359,226,3339,2,47,2,2,2,2,2,2,2,2,2,2,2,2,
