TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Wins
TeamName,0
Akron,216.0,365.0,1005.0,384.0,202.0,2720.0,11.0,9.0,271.0,485.0,1635.0,336.0,186.0,2234.0,7.0,20.0,6,6,6,6,6,6,6,6,6,6,6,6
Ball State,303.0,366.0,1103.0,373.0,232.0,3112.0,11.0,6.0,309.0,426.0,2108.0,394.0,251.0,3094.0,9.0,23.0,5,5,5,5,5,5,5,5,5,5,5,5
Bowling Green,186.0,505.0,2120.0,347.0,195.0,2029.0,11.0,7.0,340.0,420.0,1731.0,294.0,188.0,2091.0,12.0,48.0,4,4,4,4,4,4,4,4,4,4,4,4,4
Connecticut,244.0,486.0,2195.0,313.0,161.0,1692.0,12.0,9.0,324.0,479.0,2155.0,279.0,158.0,2142.0,12.0,13.0,1,1,1,1,1,1,1,1,1,1,1,1
Fresno State,252.0,430.0,2160.0,322.0,178.0,1898.0,15.0,5.0,339.0,404.0,1689.0,365.0,233.0,2666.0,5.0,24.0,5,5,5,5,5,5,5,5,5,5,5,5
Hawaii,573.0,271.0,1530.0,573.0,411.0,5619.0,11.0,15.0,313.0,449.0,1705.0,420.0,231.0,3193.0,14.0,42.0,9,9,9,9,9,9,9,9,9,9,9,9
Indiana,253.0,392.0,1366.0,430.0,232.0,2665.0,12.0,14.0,394.0,453.0,2089.0,318.0,196.0,2739.0,13.0,24.0,6,6,6,6,6,6,6,6,6,6,6,6
Kent State,200.0,486.0,1901.0,267.0,143.0,1958.0,12.0,13.0,241.0,454.0,1668.0,326.0,171.0,1907.0,16.0,14.0,7,7,7,7,7,7,7,7,7,7,7,7
Middle Tennessee,272.0,444.0,1644.0,272.0,154.0,1748.0,9.0,10.0,271.0,399.0,1414.0,346.0,198.0,2494.0,14.0,10.0,8,8,8,8,8,8,8,8,8,8,8,8
Minnesota,318.0,420.0,1812.0,342.0,199.0,2611.0,10.0,3.0,294.0,461.0,1953.0,379.0,234.0,3042.0,16.0,17.0,5,5,5,5,5,5,5,5,5,5,5,5
Mississippi,181.0,422.0,1504.0,280.0,134.0,1633.0,10.0,6.0,275.0,459.0,1907.0,340.0,203.0,2340.0,3.0,7.0,6,6,6,6,6,6,6,6,6,6,6,6
Nevada-Las Vegas,204.0,347.0,1074.0,441.0,242.0,2728.0,17.0,12.0,378.0,477.0,1937.0,315.0,211.0,2711.0,9.0,10.0,4,4,4,4,4,4,4,4,4,4,4,4
North Carolina,206.0,382.0,1360.0,333.0,169.0,2156.0,18.0,10.0,366.0,464.0,2073.0,306.0,190.0,2346.0,7.0,10.0,4,4,4,4,4,4,4,4,4,4,4,4
Rutgers,317.0,459.0,2131.0,270.0,149.0,1876.0,13.0,7.0,176.0,426.0,1282.0,288.0,150.0,1835.0,13.0,33.0,7,7,7,7,7,7,7,7,7,7,7,7
San Jose State,269.0,461.0,2212.0,276.0,176.0,2152.0,8.0,13.0,258.0,441.0,1801.0,345.0,216.0,2431.0,16.0,35.0,8,8,8,8,8,8,8,8,8,8,8,8
South Alabama,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,302.0,373.0,1687.0,360.0,224.0,2936.0,12.0,10.0,207.0,436.0,1774.0,273.0,143.0,2078.0,13.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5
Southern Cal,336.0,393.0,1616.0,402.0,246.0,3039.0,11.0,6.0,179.0,372.0,1172.0,395.0,212.0,2353.0,10.0,28.0,9,9,9,9,9,9,9,9,9,9,9,9,9
Tulane,192.0,353.0,1106.0,440.0,245.0,2958.0,12.0,13.0,400.0,428.0,1794.0,386.0,247.0,3002.0,8.0,32.0,5,5,5,5,5,5,5,5,5,5,5,5
Tulsa,323.0,455.0,2011.0,338.0,223.0,2786.0,8.0,9.0,237.0,389.0,1624.0,311.0,165.0,1830.0,7.0,24.0,5,5,5,5,5,5,5,5,5,5,5,5
U-C-F,232.0,442.0,1673.0,381.0,227.0,2805.0,10.0,10.0,345.0,400.0,1791.0,392.0,244.0,2986.0,10.0,0.0,6,6,6,6,6,6,6,6,6,6,6,6
Utah,293.0,418.0,1661.0,377.0,215.0,2723.0,11.0,7.0,245.0,420.0,1288.0,339.0,201.0,2646.0,16.0,45.0,4,4,4,4,4,4,4,4,4,4,4,4
Utah State,130.0,430.0,1377.0,298.0,155.0,1676.0,14.0,11.0,462.0,444.0,2242.0,313.0,201.0,2990.0,6.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2
Vanderbilt,254.0,385.0,1795.0,337.0,187.0,2417.0,14.0,14.0,284.0,453.0,1872.0,293.0,176.0,2357.0,14.0,10.0,4,4,4,4,4,4,4,4,4,4,4,4
